Species,CH,count,groupFLY,GROUPSZ,DISTFRONT,DISTBACK
CAGO,11,1,1,2,3,4
CAGO,01,1,0,2,,4
CAGO,11,1,1,2,3,3
CAGO,11,1,1,3,1,2
CAGO,01,1,0,7,,4
CAGO,10,1,0,7,4,
CAGO,10,1,0,7,4,
CAGO,01,1,0,2,,5
CAGO,11,1,1,1,5,5
CAGO,01,1,0,2,,3
CAGO,01,1,1,2,,3
CAGO,01,1,1,4,,6
CAGO,10,1,0,12,6,
CAGO,01,1,1,7,,4
CAGO,10,1,1,2,6,
CAGO,10,1,1,2,1,
CAGO,10,1,1,2,3,
CAGO,01,1,0,2,,3
CAGO,01,1,0,2,,3
CAGO,11,1,0,1,4,3
CAGO,11,1,1,1,3,4
CAGO,10,1,1,2,1,
CAGO,10,1,1,1,1,
CAGO,01,1,0,1,,3
CAGO,01,1,1,1,,2
CAGO,10,1,1,2,4,
CAGO,10,1,1,2,4,
CAGO,11,1,1,1,5,5
CAGO,11,1,1,2,1,4
CAGO,11,1,1,2,1,4
CAGO,11,1,0,2,4,4
CAGO,10,1,1,1,1,
CAGO,01,1,1,2,,4
CAGO,11,1,1,3,2,2
CAGO,11,1,1,2,2,4
CAGO,01,1,0,2,,2
CAGO,10,1,0,1,6,
CAGO,01,1,1,1,,4
CAGO,10,1,1,1,2,
CAGO,10,1,1,1,3,
CAGO,01,1,0,1,,3
CAGO,11,1,1,1,1,2
CAGO,10,1,0,1,1,
CAGO,10,1,0,2,4,
CAGO,10,1,1,2,1,
CAGO,11,1,1,1,1,1
CAGO,10,1,0,1,4,
CAGO,10,1,0,1,2,
CAGO,10,1,1,2,4,
CAGO,01,1,1,2,,4
CAGO,11,1,1,2,5,5
CAGO,11,1,1,2,2,2
CAGO,10,1,1,1,2,
CAGO,10,1,1,2,2,
CAGO,01,1,1,2,,4
CAGO,11,1,1,1,4,4
CAGO,10,1,1,1,1,
CAGO,10,1,0,2,1,
CAGO,11,1,1,1,1,1
CAGO,11,1,1,1,4,2
CAGO,01,1,1,2,,5
CAGO,11,1,1,1,3,3
CAGO,11,1,1,2,4,4
CAGO,11,1,1,2,2,2
CAGO,11,1,1,1,2,2
CAGO,01,1,1,2,,2
CAGO,11,1,1,25,4,4
CAGO,11,1,1,20,3,3
CAGO,11,1,1,15,2,2
CAGO,10,1,1,15,4,
CAGO,10,1,1,2,2,
CAGO,11,1,1,2,2,2
CAGO,01,1,1,2,,3
CAGO,11,1,1,9,1,2
CAGO,10,1,1,4,2,
CAGO,10,1,0,1,6,
CAGO,01,1,1,2,,5
CAGO,10,1,1,1,5,
CAGO,10,1,0,1,4,
CAGO,10,1,0,1,1,
CAGO,01,1,1,2,,2
CAGO,11,1,0,5,3,3
CAGO,11,1,0,5,2,2
CAGO,11,1,1,9,1,1
CAGO,10,1,1,1,5,
CAGO,10,1,1,3,1,
CAGO,10,1,1,2,1,
CAGO,10,1,1,1,1,
CAGO,11,1,0,2,2,2
CAGO,10,1,0,14,1,
CAGO,01,1,0,5,,3
CAGO,01,1,0,2,,4
CAGO,10,1,0,1,6,
CAGO,10,1,0,9,1,
CAGO,11,1,0,10,4,4
CAGO,11,1,0,10,5,5
CAGO,10,1,1,2,1,
CAGO,10,1,1,2,1,
CAGO,10,1,1,2,4,
CAGO,01,1,0,2,,4
CAGO,10,1,0,1,1,
CAGO,10,1,0,1,3,
CAGO,01,1,1,1,,1
CAGO,10,1,0,2,1,
CAGO,01,1,0,1,,2
